iter	Passed	Remaining
0	0	92
1	1	80
2	2	75
3	3	72
4	3	70
5	4	69
6	5	71
7	6	71
8	6	70
9	7	70
10	8	68
11	9	68
12	10	67
13	10	67
14	11	65
15	12	64
16	13	65
17	14	64
18	14	62
19	15	61
20	16	60
21	16	60
22	17	59
23	18	58
24	19	57
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	59	17
77	60	16
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	76	0
