iter	Passed	Remaining
0	148	148840
1	149	74835
2	151	50246
3	151	37839
4	153	30457
5	154	25519
6	154	21957
7	155	19292
8	156	17209
9	157	15545
10	157	14179
11	158	13082
12	159	12125
13	160	11309
14	161	10596
15	162	9967
16	162	9410
17	163	8917
18	164	8482
19	164	8084
20	165	7728
21	166	7402
22	167	7106
23	168	6841
24	169	6591
25	169	6358
26	170	6139
27	171	5939
28	171	5753
29	172	5581
30	173	5427
31	174	5280
32	175	5140
33	176	5011
34	177	4882
35	177	4762
36	178	4647
37	179	4540
38	180	4439
39	181	4351
40	182	4262
41	183	4180
42	184	4095
43	184	4013
44	185	3940
45	186	3865
46	187	3796
47	188	3729
48	188	3665
49	189	3605
50	190	3549
51	191	3494
52	193	3458
53	194	3408
54	195	3356
55	196	3304
56	196	3256
57	197	3212
58	198	3168
59	199	3124
60	200	3081
61	200	3039
62	201	3000
63	202	2962
64	203	2923
65	204	2890
66	205	2855
67	205	2821
68	206	2787
69	207	2755
70	208	2722
71	208	2691
72	209	2662
73	210	2632
74	211	2605
75	212	2577
76	212	2550
77	213	2523
78	214	2497
79	215	2473
80	215	2448
81	216	2424
82	217	2399
83	217	2377
84	218	2354
85	219	2334
86	220	2314
87	221	2294
88	222	2276
89	223	2256
90	223	2236
91	224	2217
92	225	2198
93	226	2180
94	227	2163
95	227	2146
96	228	2128
97	229	2111
98	230	2094
99	230	2077
100	231	2059
101	232	2043
102	232	2027
103	233	2012
104	234	2000
105	235	1985
106	236	1970
107	236	1956
108	237	1943
109	238	1930
110	239	1916
111	240	1904
112	240	1891
113	241	1879
114	242	1866
115	243	1854
116	243	1840
117	244	1828
118	245	1817
119	246	1805
120	246	1794
121	247	1782
122	248	1771
123	249	1760
124	249	1749
125	250	1738
126	251	1727
127	251	1716
128	252	1706
129	253	1696
130	254	1686
131	255	1678
132	256	1670
133	257	1665
134	258	1657
135	260	1651
136	261	1644
137	262	1638
138	263	1633
139	264	1624
140	265	1617
141	266	1608
142	267	1602
143	269	1603
144	271	1599
145	272	1595
146	273	1589
147	274	1583
148	276	1576
149	277	1569
150	277	1562
151	278	1555
152	279	1548
153	280	1541
154	281	1534
155	282	1528
156	283	1521
157	284	1513
158	284	1506
159	285	1499
160	286	1491
161	287	1485
162	288	1479
163	290	1478
164	291	1475
165	292	1467
166	292	1460
167	293	1453
168	294	1446
169	294	1439
170	296	1435
171	296	1428
172	297	1422
173	298	1416
174	299	1410
175	299	1404
176	300	1399
177	301	1393
178	303	1390
179	305	1389
180	305	1383
181	306	1377
182	307	1371
183	307	1365
184	308	1360
185	309	1355
186	310	1349
187	311	1344
188	311	1338
189	312	1333
190	313	1328
191	314	1323
192	315	1318
193	316	1313
194	317	1310
195	318	1307
196	319	1304
197	320	1299
198	321	1294
199	322	1289
200	323	1284
201	323	1279
202	324	1275
203	325	1270
204	326	1265
205	327	1260
206	327	1255
207	328	1250
208	329	1245
209	329	1240
210	330	1235
211	331	1231
212	331	1226
213	332	1222
214	333	1218
215	334	1213
216	335	1208
217	335	1204
218	336	1199
219	337	1194
220	337	1190
221	338	1186
222	339	1182
223	339	1177
224	340	1172
225	341	1169
226	342	1164
227	342	1160
228	343	1156
229	344	1151
230	344	1147
231	345	1144
232	346	1140
233	347	1136
234	347	1132
235	348	1128
236	349	1124
237	349	1119
238	350	1116
239	351	1112
240	351	1108
241	352	1105
242	353	1101
243	354	1097
244	354	1093
245	355	1089
246	356	1086
247	357	1083
248	358	1079
249	358	1075
250	359	1072
251	360	1069
252	361	1066
253	361	1062
254	362	1059
255	363	1055
256	364	1052
257	364	1048
